日付,カテゴリ,商品名,単価,数量
2026-03-04,文具,ボールペン(12本),1500,5
2026-03-05,オフィス家具,スチールデスク,24800,3
2026-03-05,文具,コピー用紙(500枚),480,6
2026-03-05,電化製品,27型モニター,21800,-2
2026-03-08,電化製品,メカニカルキーボード,4500,1
2026-03-12,電化製品,メカニカルキーボード,4500,5
2026-03-13,オフィス家具,オフィスチェア,15800,7
2026-03-14,文具,ボールペン(12本),1500,3
2026-03-15,文具,ボールペン(12本),1500,1
2026-03-16,電化製品,27型モニター,21800,1
2026-03-17,文具,A4ノート(5冊),1600,3
2026-03-17,文具,A4ノート(5冊),1600,2
2026-03-18,オフィス家具,書棚,9800,1
2026-03-19,電化製品,USBハブ,2980,2
2026-03-20,オフィス家具,オフィスチェア,15800,8
2026-03-20,電化製品,27型モニター,21800,6
2026-03-22,オフィス家具,書棚,9800,2
2026-03-22,オフィス家具,書棚,9800,5
2026-03-25,文具,コピー用紙(500枚),480,3
2026-03-26,オフィス家具,スチールデスク,24800,7
2026-03-28,文具,A4ノート(5冊),1600,5
2026-04-01,オフィス家具,書棚,9800,4
2026-04-01,文具,ボールペン(12本),1500,2
2026-04-03,オフィス家具,書棚,9800,6
2026-04-03,文具,A4ノート(5冊),1600,1
2026-04-04,オフィス家具,オフィスチェア,15800,4
2026-04-04,電化製品,USBハブ,2980,2
2026-04-07,オフィス家具,スチールデスク,24800,4
2026-04-09,オフィス家具,スチールデスク,24800,7
2026-04-09,文具,コピー用紙(500枚),480,8
2026-04-13,オフィス家具,オフィスチェア,15800,6
2026-04-15,オフィス家具,オフィスチェア,15800,8
2026-04-15,文具,A4ノート(5冊),1600,-1
2026-04-17,文具,コピー用紙(500枚),480,4
2026-04-18,電化製品,27型モニター,21800,3
2026-04-21,電化製品,USBハブ,2980,-1
2026-04-22,電化製品,USBハブ,2980,7
2026-04-23,文具,ボールペン(12本),1500,1
2026-04-24,電化製品,27型モニター,21800,8
2026-04-26,電化製品,メカニカルキーボード,4500,8
2026-04-26,電化製品,メカニカルキーボード,4500,7
2026-04-28,文具,A4ノート(5冊),1600,6
2026-05-02,電化製品,27型モニター,21800,3
2026-05-03,文具,A4ノート(5冊),1600,4
2026-05-05,電化製品,メカニカルキーボード,4500,4
2026-05-07,オフィス家具,オフィスチェア,15800,4
2026-05-07,電化製品,USBハブ,2980,1
2026-05-09,オフィス家具,書棚,9800,8
2026-05-10,電化製品,メカニカルキーボード,4500,7
2026-05-13,オフィス家具,スチールデスク,24800,6
2026-05-13,電化製品,27型モニター,21800,1
2026-05-13,電化製品,27型モニター,21800,5
2026-05-14,オフィス家具,書棚,9800,3
2026-05-14,文具,コピー用紙(500枚),480,8
2026-05-15,文具,ボールペン(12本),1500,2
2026-05-16,文具,コピー用紙(500枚),480,4
2026-05-16,オフィス家具,書棚,9800,-1
2026-05-18,オフィス家具,オフィスチェア,15800,8
2026-05-19,電化製品,USBハブ,2980,1
2026-05-21,文具,A4ノート(5冊),1600,1
2026-05-23,電化製品,メカニカルキーボード,4500,8
2026-05-24,電化製品,USBハブ,2980,6
2026-05-26,オフィス家具,スチールデスク,24800,2
2026-05-28,文具,ボールペン(12本),1500,2
2026-06-01,文具,コピー用紙(500枚),480,8
2026-06-04,オフィス家具,書棚,9800,4
2026-06-05,文具,A4ノート(5冊),1600,5
2026-06-05,電化製品,27型モニター,21800,-2
2026-06-06,電化製品,USBハブ,2980,8
2026-06-08,電化製品,メカニカルキーボード,4500,6
2026-06-09,文具,ボールペン(12本),1500,4
2026-06-09,文具,A4ノート(5冊),1600,7
2026-06-10,サンプル品,ノベルティボールペン,200,0
2026-06-10,サンプル品,ノベルティメモ帳,150,0
2026-06-11,文具,コピー用紙(500枚),480,2
2026-06-11,サンプル品,ノベルティボールペン,200,0
2026-06-12,電化製品,メカニカルキーボード,4500,2
2026-06-17,オフィス家具,スチールデスク,24800,2
2026-06-17,電化製品,27型モニター,21800,5
2026-06-18,電化製品,27型モニター,21800,4
2026-06-19,オフィス家具,書棚,9800,1
2026-06-20,オフィス家具,オフィスチェア,15800,2
2026-06-20,オフィス家具,書棚,9800,2
2026-06-20,文具,コピー用紙(500枚),480,2
2026-06-20,電化製品,USBハブ,2980,1
2026-06-22,オフィス家具,オフィスチェア,15800,4
2026-06-22,文具,ボールペン(12本),1500,6
2026-06-22,文具,ボールペン(12本),1500,6
2026-06-24,オフィス家具,スチールデスク,24800,-1
2026-06-27,電化製品,USBハブ,2980,5
2026-06-28,オフィス家具,スチールデスク,24800,3
